Match,Day,Date,Time,Stadium,City
Beitar Jerusalem vs Maccabi Netanya,Sunday,2024-09-15,20:15,Teddy Stadium,Jerusalem
Beitar Jerusalem vs Maccabi Netanya,Sunday,2024-09-15,20:15,Teddy Stadium,Jerusalem
Hapoel Hadera vs Maccabi Petah Tikva,Monday,2024-09-16,20:00,Shar-Tov Stadium,Netanya
Maccabi Tel Aviv vs Hapoel Jerusalem,Wednesday,2024-09-18,17:30,Bloomfield Stadium,Tel Aviv
Maccabi Netanya vs Ironi Kiryat Shmona,Saturday,2024-09-21,20:00,Shar-Tov Stadium,Netanya
Hapoel Be'er Sheva vs Hapoel Hadera,Saturday,2024-09-21,20:30,Turner Stadium,Be'er Sheva
Maccabi Petah Tikva vs Hapoel Haifa,Saturday,2024-09-21,20:00,HaMoshava Stadium,Petach Tikva
Ironi Tiberias vs Bnei Sakhnin,Saturday,2024-09-21,19:30,Green Stadium,Nazareth Illit
Hapoel Jerusalem vs Maccabi Bnei Raina,Saturday,2024-09-21,19:30,Teddy Stadium,Jerusalem
Ashdod vs Maccabi Tel Aviv,Sunday,2024-09-22,20:15,Yud-Alef Stadium,Ashdod
Maccabi Haifa vs Beitar Jerusalem,Monday,2024-09-23,20:30,Sammy Ofer Stadium,Haifa
Ironi Kiryat Shmona vs Maccabi Haifa,Saturday,2024-09-28,N/A,Shar-Tov Stadium,Netanya
Maccabi Tel Aviv vs Ironi Tiberias,Saturday,2024-09-28,N/A,Bloomfield Stadium,Tel Aviv
Hapoel Jerusalem vs Maccabi Petah Tikva,Saturday,2024-09-28,N/A,Teddy Stadium,Jerusalem
Maccabi Bnei Raina vs Beitar Jerusalem,Saturday,2024-09-28,N/A,Green Stadium,Nazareth Illit
Hapoel Hadera vs Ashdod,Saturday,2024-09-28,N/A,Shar-Tov Stadium,Netanya
Bnei Sakhnin vs Maccabi Netanya,Saturday,2024-09-28,N/A,Doha Stadium,Sakhnin
Hapoel Haifa vs Hapoel Be'er Sheva,Saturday,2024-09-28,N/A,Sammy Ofer Stadium,Haifa
Maccabi Petah Tikva vs Maccabi Bnei Raina,Saturday,2024-10-05,N/A,HaMoshava Stadium,Petach Tikva
Ashdod vs Hapoel Haifa,Saturday,2024-10-05,N/A,Yud-Alef Stadium,Ashdod
Maccabi Netanya vs Maccabi Tel Aviv,Saturday,2024-10-05,N/A,Shar-Tov Stadium,Netanya
Hapoel Be'er Sheva vs Hapoel Jerusalem,Saturday,2024-10-05,N/A,Turner Stadium,Be'er Sheva
